"id","code","name","xendit_code","created_at","updated_at"
"0002f1c3-f5e1-4815-8ebb-4379f5382543","NUSA_TENGGARA_TIMUR","BPD Nusa Tenggara Timur","NUSA_TENGGARA_TIMUR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002f95d-5e61-484c-9c0e-57245ca2c2f9","PAPUA","BPD Papua","PAPUA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002fb6a-1b11-4e96-99f4-1b2f79973b30","RIAU_DAN_KEPRI","BPD Riau Dan Kepri","RIAU_DAN_KEPRI","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002fd8a-f48b-4376-b8fb-a4e3d77ce3e1","RIAU_DAN_KEPRI_UUS","BPD Riau Dan Kepri UUS","RIAU_DAN_KEPRI_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00030e4e-4a5b-42e7-9a06-70d606108cb3","SULAWESI","BPD Sulawesi Tengah","SULAWESI","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00031450-6b50-4283-bb68-e199b4de4ff9","SULAWESI_TENGGARA","BPD Sulawesi Tenggara","SULAWESI_TENGGARA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00031857-273b-415f-b86f-94058053bc65","SULSELBAR","BPD Sulselbar","SULSELBAR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00032cfd-9be8-43be-b40a-439eec35a39e","SULSELBAR_UUS","BPD Sulselbar UUS","SULSELBAR_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00033ad9-e9d0-4e59-b5e3-bd8354ee39af","SULUT","BPD Sulut","SULUT","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00033c32-7979-4fd8-86ed-a2e1c7f58f67","SUMATERA_BARAT","BPD Sumatera Barat","SUMATERA_BARAT","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000348c8-fe7b-4146-8e39-ded52541b0fb","SUMATERA_BARAT_UUS","BPD Sumatera Barat UUS","SUMATERA_BARAT_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00034919-8620-463d-bb03-bef9b8117c55","SUMSEL_DAN_BABEL","BPD Sumsel Dan Babel","SUMSEL_DAN_BABEL","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000351f8-4028-4de6-ac88-70b7a1f22804","SUMSEL_DAN_BABEL_UUS","BPD Sumsel Dan Babel UUS","SUMSEL_DAN_BABEL_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003694b-b8b3-4adf-aecd-51be1d06aabb","SUMUT","BPD Sumut","SUMUT","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00036a27-c98f-4bd2-ab97-8992a4006e1a","SUMUT_UUS","BPD Sumut UUS","SUMUT_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00037d0a-bd55-4c7a-a321-fb4acf0af651","CENTRATAMA","Centratama Nasional Bank","CENTRATAMA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00038037-e9fd-4cf2-a8bf-45b2acad2872","CCB","China Construction Bank Indonesia (formerly Bank Antar Daerah and Bank Windu Kentjana International)","CCB","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00038c0f-7808-4e62-98cb-9b499aa9c1be","CITIBANK","Citibank","CITIBANK","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00038c13-598a-4003-bf54-c098784bbfa2","DEUTSCHE","Deutsche Bank","DEUTSCHE","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00038d88-dad4-4e4d-9f75-a42adbdcfcf7","HSBC_UUS","Hongkong and Shanghai Bank Corporation (HSBC) UUS","HSBC_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00038db4-560e-40c3-b198-ee9c85264533","HSBC","HSBC Indonesia (formerly Bank Ekonomi Raharja)","HSBC","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000394bf-0a38-4d6a-b60d-dabac6edcd87","EXIMBANK","Indonesia Eximbank (formerly Bank Ekspor Indonesia)","EXIMBANK","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000395a2-ba9b-4a8b-b757-7af33d163cc3","JPMORGAN","JP Morgan Chase Bank","JPMORGAN","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003981c-08b4-4092-82ca-8c50cda18aee","MANDIRI_TASPEN","Mandiri Taspen Pos (formerly Bank Sinar Harapan Bali)","MANDIRI_TASPEN","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003a267-965f-48b4-afaf-dbf41f2d9794","PRIMA_MASTER","Prima Master Bank","PRIMA_MASTER","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003b214-d1fc-4036-9ebe-f88f68728295","RBS","Royal Bank of Scotland (RBS)","RBS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003b4bf-fec9-46e4-bdaa-fb0152b76e76","SINARMAS","Sinarmas","SINARMAS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003c08d-8f00-4085-9115-eab95103cf91","STANDARD_CHARTERED","Standard Charted Bank","STANDARD_CHARTERED","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003c891-6021-405b-8bcf-df97cfe41a3c","ANGLOMAS","Anglomas International Bank","ANGLOMAS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003c9f3-7b30-41c2-a724-a0d5ef0381be","ARTA_NIAGA_KENCANA","Bank Arta Niaga Kencana","ARTA_NIAGA_KENCANA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003cecb-edba-4969-8e7a-265d8bbccac3","KALIMANTAN_SELATAN","BPD Kalimantan Selatan","KALIMANTAN_SELATAN","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003d297-9f12-4d3b-966e-a59088fcd574","BUMI_ARTA","Bank Bumi Arta","BUMI_ARTA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003d500-d54d-4b37-bd73-7b4c8b928b1f","COMMONWEALTH","Bank Commonwealth","COMMONWEALTH","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003df9a-b8c2-4f55-aac9-8195134225da","FAMA","Bank Fama International","FAMA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003dfdb-5850-4e49-a97b-c57f6dab2bf2","INA_PERDANA","Bank Ina Perdania","INA_PERDANA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003f4a3-65bd-4731-81e0-361f964eb6d5","MAYAPADA","Bank Mayapada International","MAYAPADA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0003fea5-a98b-49f9-b9bf-f6a3924521c8","INDIA","Bank of India Indonesia","INDIA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000400c5-f205-4a28-ba03-616015586635","QNB_INDONESIA","Bank QNB Indonesia (formerly Bank QNB Kesawan)","QNB_INDONESIA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00040531-b889-453b-a940-f9a66403cf45","BTN","Bank Tabungan Negara (BTN)","BTN","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000405c8-b848-4b48-b0f6-684b282af6d8","VICTORIA_INTERNASIONAL","Bank Victoria Internasional","VICTORIA_INTERNASIONAL","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00040664-f030-4cc0-a355-f02642d16848","WOORI","Bank Woori Indonesia","WOORI","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00041bf3-eda6-478d-bc35-8e08f9747f93","BTPN_SYARIAH","BTPN Syariah (formerly BTPN UUS and Bank Sahabat Purba Danarta)","BTPN_SYARIAH","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000421df-6697-4a31-b5ff-459798dca0e7","CAPITAL","Bank Capital Indonesia","CAPITAL","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0004242c-63d0-41e9-bd50-fcca8c29d62c","HARDA_INTERNASIONAL","Bank Harda Internasional","HARDA_INTERNASIONAL","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000429de-9d74-4baf-970e-855a38ca3140","MNC_INTERNASIONAL","Bank MNC Internasional","MNC_INTERNASIONAL","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00042b7c-18d9-45a6-95f1-308a1f698443","MULTI_ARTA_SENTOSA","Bank Multi Arta Sentosa","MULTI_ARTA_SENTOSA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00042e22-2c21-42b7-93a8-d8bd00770b2b","SAHABAT_SAMPOERNA","Bank Sahabat Sampoerna","SAHABAT_SAMPOERNA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00042eb0-3132-4da2-a4aa-ae4de64be626","DAERAH_ISTIMEWA_UUS","BPD Daerah Istimewa Yogyakarta (DIY) UUS","DAERAH_ISTIMEWA_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
